movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
Hidden Figures,2016,7.8,74,127,184455,"Biography, Drama, History",$169.61M
As Good as It Gets,1997,7.7,67,139,263411,"Comedy, Drama, Romance",$148.48M
Amadeus,1984,8.3,88,160,351753,"Biography, Drama, History",$51.97M
The Machinist,2004,7.7,61,101,342058,"Drama, Thriller",$1.08M
Isle of Dogs,2018,7.9,82,101,124523,"Animation, Adventure, Comedy",$32.02M
Remember the Titans,2000,7.8,48,113,189853,"Biography, Drama, Sport",$115.65M
Slumdog Millionaire,2008,8.0,86,120,770192,"Drama, Romance",$141.32M
Moonrise Kingdom,2012,7.8,84,94,303323,"Comedy, Drama, Romance",$45.51M
The Bourne Identity,2002,7.9,68,119,489002,"Action, Mystery, Thriller",$121.66M
Almost Famous,2000,7.9,90,122,241967,"Adventure, Comedy, Drama",$32.53M
Sherlock Holmes,2009,7.6,57,128,563879,"Action, Adventure, Crime",$209.03M
The Pursuit of Happyness,2006,8.0,64,117,423132,"Biography, Drama",$163.57M
What's Eating Gilbert Grape,1993,7.8,73,118,204728,Drama,$9.17M
The Conversation,1974,7.8,85,113,91282,"Drama, Mystery, Thriller",$4.42M
Kill Bill: Vol. 2,2004,8.0,83,137,650020,"Action, Crime, Thriller",$66.21M
The Fault in Our Stars,2014,7.7,69,126,328018,"Drama, Romance",$124.87M
Taken,2008,7.8,51,90,550220,"Action, Thriller",$145.00M
Monty Python and the Holy Grail,1975,8.2,93,91,480322,"Adventure, Comedy, Fantasy",$1.23M
Wild Tales,2014,8.1,77,122,161735,"Comedy, Drama, Thriller",$3.11M
Rocky,1976,8.1,70,120,493325,"Drama, Sport",$117.24M
The Butterfly Effect,2004,7.6,30,113,435204,"Drama, Sci-Fi, Thriller",$57.94M
Incendies,2010,8.3,80,131,133804,"Drama, Mystery, War",$6.86M
Nausicaä of the Valley of the Wind,1984,8.1,86,117,136495,"Animation, Adventure, Fantasy",$0.50M
Little Miss Sunshine,2006,7.8,80,101,422636,"Comedy, Drama",$59.89M
Sense and Sensibility,1995,7.6,84,136,96604,"Drama, Romance",$43.18M
3 Idiots,2009,8.4,67,170,318335,"Comedy, Drama",$6.53M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97,95,430487,Comedy,$0.28M
Black Hawk Down,2001,7.7,74,144,351046,"Drama, History, War",$108.64M
The Theory of Everything,2014,7.7,72,123,378658,"Biography, Drama, Romance",$35.89M
Blazing Saddles,1974,7.7,73,93,120133,"Comedy, Western",$119.50M
500 Days of Summer,2009,7.7,76,95,454932,"Comedy, Drama, Romance",$32.39M
Donnie Brasco,1997,7.7,76,127,263758,"Biography, Crime, Drama",$41.91M
Midnight in Paris,2011,7.7,81,94,369061,"Comedy, Fantasy, Romance",$56.82M
X-Men: Days of Future Past,2014,8.0,75,132,640289,"Action, Adventure, Sci-Fi",$233.92M
Wreck-It Ralph,2012,7.7,72,101,362481,"Animation, Adventure, Comedy",$189.42M
Blue Velvet,1986,7.8,76,120,170357,"Drama, Mystery, Thriller",$8.55M
Y Tu Mamá También,2001,7.6,88,106,110651,Drama,$13.62M
Apollo 13,1995,7.6,77,140,255377,"Adventure, Drama, History",$173.84M
Match Point,2005,7.6,72,124,198035,"Drama, Romance, Thriller",$23.09M
The Secret in Their Eyes,2009,8.2,80,129,181007,"Drama, Mystery, Romance",$6.39M
The Little Mermaid,1989,7.6,88,83,225137,"Animation, Family, Fantasy",$111.54M
Downfall,2004,8.2,82,156,316881,"Biography, Drama, History",$5.51M
Breakfast at Tiffany's,1961,7.7,76,115,157601,"Comedy, Drama, Romance",-
Office Space,1999,7.7,68,89,233564,Comedy,$10.82M
Moon,2009,7.9,67,97,322373,"Drama, Mystery, Sci-Fi",$5.01M
Training Day,2001,7.7,69,122,370151,"Crime, Drama, Thriller",$76.63M
The Skin I Live In,2011,7.6,70,120,130136,"Drama, Horror, Thriller",$3.19M
The Hunt for Red October,1990,7.6,58,135,170410,"Action, Adventure, Thriller",$122.01M
Blood Diamond,2006,8.0,64,143,478272,"Adventure, Drama, Thriller",$57.37M
Boyz n the Hood,1991,7.7,76,112,117589,"Crime, Drama",$57.50M
Million Dollar Baby,2004,8.1,86,132,607775,"Drama, Sport",$100.49M
Before Sunrise,1995,8.1,77,101,251256,"Drama, Romance",$5.54M
Gone Baby Gone,2007,7.6,72,114,240931,"Crime, Drama, Mystery",$20.30M
Serenity,2005,7.8,74,119,276307,"Action, Adventure, Sci-Fi",$25.51M
Raging Bull,1980,8.2,89,129,304247,"Biography, Drama, Sport",$23.38M
The Last of the Mohicans,1992,7.7,76,112,141646,"Action, Adventure, Drama",$75.51M
Stalker,1979,8.2,-,162,105588,"Drama, Sci-Fi",$0.23M
Grave of the Fireflies,1988,8.5,-,89,213434,"Animation, Drama, War",-
Kick-Ass,2010,7.6,66,117,510903,"Action, Adventure, Comedy",$48.07M
The Warriors,1979,7.6,65,92,89072,"Action, Crime, Thriller",$22.49M
Billy Elliot,2000,7.7,74,110,120647,"Drama, Music",$22.00M
Rosemary's Baby,1968,8.0,96,137,180794,"Drama, Horror",-
Dances with Wolves,1990,8.0,72,181,229442,"Adventure, Drama, Western",$184.21M
Scent of a Woman,1992,8.0,59,156,243957,Drama,$63.90M
Hunt for the Wilderpeople,2016,7.9,81,101,97252,"Adventure, Comedy, Drama",$5.20M
Gravity,2013,7.7,96,91,738819,"Drama, Sci-Fi, Thriller",$274.09M
Primal Fear,1996,7.7,47,129,173041,"Crime, Drama, Mystery",$56.12M
Willy Wonka & the Chocolate Factory,1971,7.8,67,100,168844,"Family, Fantasy, Musical",$4.53M
The Boy in the Striped Pajamas,2008,7.8,55,94,179909,"Drama, War",$9.03M
Vertigo,1958,8.3,100,128,338716,"Mystery, Romance, Thriller",$3.20M
The Game,1997,7.8,61,129,327530,"Action, Drama, Mystery",$48.32M
First Blood,1982,7.7,61,93,215604,"Action, Adventure",$47.21M
Badlands,1973,7.8,93,94,61562,"Crime, Drama",-
Toy Story 2,1999,7.9,88,92,501476,"Animation, Adventure, Comedy",$245.85M
Lolita,1962,7.6,79,153,87487,"Crime, Drama, Romance",$9.25M
Road to Perdition,2002,7.7,72,117,235478,"Crime, Drama, Thriller",$104.45M
Empire of the Sun,1987,7.8,62,153,109846,"Action, Drama, History",$22.24M
Akira,1988,8.0,-,124,152386,"Animation, Drama, Sci-Fi",$0.55M
The Untouchables,1987,7.9,79,119,265775,"Crime, Drama, Thriller",$76.27M
Captain Phillips,2013,7.8,83,134,402009,"Biography, Crime, Drama",$107.10M
Philadelphia,1993,7.7,66,125,213933,Drama,$77.32M
Interview with the Vampire: The Vampire Chronicles,1994,7.6,59,123,283594,"Drama, Horror",$105.26M
End of Watch,2012,7.6,68,109,219405,"Action, Crime, Drama",$41.00M
Beauty and the Beast,1991,8.0,95,84,403490,"Animation, Family, Fantasy",$218.97M
Star Trek Into Darkness,2013,7.7,72,132,453710,"Action, Adventure, Sci-Fi",$228.78M
Man on Fire,2004,7.7,47,146,317347,"Action, Crime, Drama",$77.91M
Back to the Future Part II,1989,7.8,57,108,450251,"Adventure, Comedy, Sci-Fi",$118.50M
Misery,1990,7.8,75,107,173167,"Drama, Thriller",$61.28M
The Blues Brothers,1980,7.9,60,133,173694,"Adventure, Comedy, Crime",$57.23M
Lawrence of Arabia,1962,8.3,100,228,253727,"Adventure, Biography, Drama",$44.82M
The Graduate,1967,8.0,83,106,245045,"Comedy, Drama, Romance",$104.95M
Dangal,2016,8.4,-,161,137210,"Action, Biography, Drama",$12.39M
Who Framed Roger Rabbit,1988,7.7,83,104,174438,"Animation, Adventure, Comedy",$156.45M
The Hurt Locker,2008,7.6,95,131,405747,"Drama, Thriller, War",$17.02M
It's a Wonderful Life,1946,8.6,89,130,377961,"Drama, Family, Fantasy",-
Spartacus,1960,7.9,87,197,118442,"Adventure, Biography, Drama",$30.00M
In Bruges,2008,7.9,67,107,375666,"Comedy, Crime, Drama",$7.76M
Traffic,2000,7.6,86,147,190127,"Crime, Drama, Thriller",$124.12M
Citizen Kane,1941,8.3,100,119,378504,"Drama, Mystery",$1.59M
The Royal Tenenbaums,2001,7.6,76,110,254681,"Comedy, Drama",$52.36M
The Count of Monte Cristo,2002,7.8,61,131,124123,"Action, Adventure, Drama",$54.23M
The Others,2001,7.6,74,104,323697,"Horror, Mystery, Thriller",$96.52M
Searching,2018,7.6,71,102,120622,"Drama, Mystery, Thriller",$26.02M
Rain Man,1988,8.0,65,133,455507,Drama,$178.80M
The Great Escape,1963,8.2,87,172,213405,"Adventure, Drama, History",$12.10M
The Fly,1986,7.5,79,96,151353,"Drama, Horror, Sci-Fi",$40.46M
The Fugitive,1993,7.8,87,130,254797,"Action, Crime, Drama",$183.88M
Das Boot,1981,8.3,86,149,219991,"Adventure, Drama, Thriller",$11.49M
Sleepers,1996,7.6,49,147,180368,"Crime, Drama, Thriller",$49.10M
Some Like It Hot,1959,8.2,98,121,231054,"Comedy, Music, Romance",$25.00M
Brazil,1985,7.9,88,132,180539,"Drama, Sci-Fi",$9.93M
Life of Pi,2012,7.9,79,127,556489,"Adventure, Drama, Fantasy",$124.99M
When Harry Met Sally...,1989,7.6,76,95,185096,"Comedy, Drama, Romance",$92.82M
"O Brother, Where Art Thou?",2000,7.7,69,107,273080,"Adventure, Comedy, Crime",$45.51M
To Kill a Mockingbird,1962,8.2,88,129,282495,"Crime, Drama",-
Bridge of Spies,2015,7.6,81,142,273851,"Drama, History, Thriller",$72.31M
King Kong,1933,7.9,90,100,76006,"Adventure, Horror, Sci-Fi",$10.00M
The Naked Gun: From the Files of Police Squad!,1988,7.6,76,85,142803,"Comedy, Crime",$78.76M
The Florida Project,2017,7.6,92,111,81619,Drama,$5.90M
Gifted,2017,7.6,60,101,90113,Drama,$24.80M
Mr. Nobody,2009,7.8,63,141,205702,"Drama, Fantasy, Romance",$0.00M
Castle in the Sky,1986,8.0,78,125,138124,"Animation, Adventure, Drama",-
Seven Pounds,2008,7.6,36,123,276966,Drama,$69.95M
Gattaca,1997,7.8,64,106,269798,"Drama, Sci-Fi, Thriller",$12.34M
Gran Torino,2008,8.1,72,116,692493,Drama,$148.10M
Mother,2009,7.8,79,129,43761,"Crime, Drama, Thriller",$0.55M
Battle Royale,2000,7.6,81,114,163321,"Adventure, Drama, Sci-Fi",-
The Reader,2008,7.6,58,124,223478,"Drama, Romance",$34.19M
Dog Day Afternoon,1975,8.0,86,125,225432,"Biography, Crime, Drama",$50.00M
My Cousin Vinny,1992,7.6,68,120,100785,"Comedy, Crime",$52.93M
I Saw the Devil,2010,7.8,67,144,100750,"Action, Crime, Drama",$0.13M
Singin' in the Rain,1952,8.3,99,103,206677,"Comedy, Musical, Romance",$8.82M
Dirty Harry,1971,7.7,90,102,136949,"Action, Crime, Thriller",$35.90M
Shoplifters,2018,8.0,93,121,48191,"Crime, Drama",$3.31M
Deliverance,1972,7.7,82,109,94363,"Adventure, Drama, Thriller",-
The Body,2012,7.6,-,108,49797,"Mystery, Thriller",-
Giant,1956,7.6,84,201,32378,"Drama, Western",$35.00M
Fantastic Mr. Fox,2009,7.8,83,87,185818,"Animation, Adventure, Comedy",$21.00M
Monty Python's Life of Brian,1979,8.1,77,94,349684,Comedy,$20.05M
Creed,2015,7.6,82,133,235996,"Drama, Sport",$109.77M
Halloween,1978,7.8,81,91,217129,"Horror, Thriller",$47.00M
Rebel Without a Cause,1955,7.7,87,111,79370,Drama,-
Barry Lyndon,1975,8.1,89,185,139679,"Adventure, Drama, History",-
Cinema Paradiso,1988,8.5,80,155,213602,Drama,$11.99M
Boyhood,2014,7.9,100,165,324755,Drama,$25.38M
A Separation,2011,8.3,95,123,207452,Drama,$7.10M
The Jungle Book,1967,7.6,65,78,158037,"Animation, Adventure, Family",$141.84M
Only the Brave,2017,7.6,72,134,51873,"Action, Biography, Drama",$18.34M
The Elephant Man,1980,8.1,77,124,208133,"Biography, Drama",-
The Bourne Ultimatum,2007,8.0,85,115,590129,"Action, Mystery, Thriller",$227.47M
How to Train Your Dragon,2010,8.1,75,98,636281,"Animation, Action, Adventure",$217.58M
Kiki's Delivery Service,1989,7.9,83,103,109265,"Animation, Adventure, Drama",-
North by Northwest,1959,8.3,98,136,283508,"Adventure, Mystery, Thriller",$13.28M
The Thin Red Line,1998,7.6,78,170,165550,"Drama, War",$36.40M
The Secret World of Arrietty,2010,7.6,80,94,72717,"Animation, Adventure, Family",$19.20M
Sling Blade,1996,8.0,84,135,84260,Drama,$24.48M
Coraline,2009,7.7,80,100,185606,"Animation, Drama, Family",$75.29M
Andhadhun,2018,8.3,-,139,57027,"Crime, Thriller",$1.37M
Network,1976,8.1,83,121,137502,Drama,-
The Birds,1963,7.7,88,119,161987,"Drama, Horror, Mystery",$11.40M
Ben-Hur,1959,8.1,90,212,209174,"Adventure, Drama, History",$74.70M
This Is Spinal Tap,1984,7.9,92,82,123946,"Comedy, Music",$0.19M
Lost Highway,1997,7.6,52,134,123697,"Mystery, Thriller",$3.80M
The Ten Commandments,1956,7.8,-,220,59568,"Adventure, Drama",$93.74M
Lethal Weapon,1987,7.6,68,109,227056,"Action, Crime, Thriller",$65.21M
In the Mood for Love,2000,8.1,85,98,113361,"Drama, Romance",$2.73M
Rise of the Planet of the Apes,2011,7.6,68,105,483858,"Action, Drama, Sci-Fi",$176.76M
High Noon,1952,7.9,89,85,93524,"Drama, Thriller, Western",$9.45M
Enemy at the Gates,2001,7.6,53,131,232763,"Drama, History, War",$51.40M
Metropolis,1927,8.3,98,153,151359,"Drama, Sci-Fi",$1.24M
The Magnificent Seven,1960,7.7,74,128,83798,"Action, Adventure, Western",$4.91M
Eastern Promises,2007,7.6,82,100,219865,"Action, Crime, Drama",$17.11M
The Bourne Supremacy,2004,7.7,73,108,418977,"Action, Mystery, Thriller",$176.24M
Breathless,1960,7.9,-,90,68193,"Crime, Drama",$0.34M
Sunset Blvd.,1950,8.4,-,110,188770,"Drama, Film-Noir",-
Despicable Me,2010,7.6,72,95,481196,"Animation, Comedy, Family",$251.51M
The Abyss,1989,7.6,62,171,156358,"Adventure, Drama, Mystery",$54.46M
Dawn of the Dead,1978,7.9,71,127,106956,"Horror, Thriller",$5.10M
Bonnie and Clyde,1967,7.8,86,111,97882,"Action, Biography, Crime",-
The Dirty Dozen,1967,7.8,73,150,64030,"Action, Adventure, War",$45.30M
The Girl with the Dragon Tattoo,2009,7.8,76,152,202933,"Crime, Drama, Mystery",$10.10M
127 Hours,2010,7.6,82,94,335001,"Biography, Drama",$18.34M
The Tale of The Princess Kaguya,2013,8.0,89,137,32348,"Animation, Adventure, Drama",$1.51M
Midnight Cowboy,1969,7.8,79,113,95548,Drama,$44.79M
Ip Man,2008,8.0,59,106,202651,"Action, Biography, Drama",-
This Is England,2006,7.7,86,101,112497,"Crime, Drama",$0.33M
The Sting,1973,8.3,83,129,229770,"Comedy, Crime, Drama",$159.60M
Being John Malkovich,1999,7.7,90,113,296908,"Comedy, Drama, Fantasy",$22.86M
Fear and Loathing in Las Vegas,1998,7.6,41,118,249720,"Adventure, Comedy, Drama",$10.68M
"Planes, Trains & Automobiles",1987,7.6,72,93,116182,"Comedy, Drama",$49.53M
Dawn of the Planet of the Apes,2014,7.6,79,130,400495,"Action, Adventure, Drama",$208.55M
The Holy Mountain,1973,7.9,-,114,33798,"Adventure, Drama, Fantasy",$0.06M
Do the Right Thing,1989,7.9,92,120,79529,"Comedy, Drama",$27.55M
Die Hard with a Vengeance,1995,7.6,58,128,351038,"Action, Adventure, Thriller",$100.01M
Robin Hood,1973,7.6,57,83,109270,"Animation, Adventure, Comedy",$32.06M
Cool Hand Luke,1967,8.1,91,127,154497,"Crime, Drama",$16.22M
"Paris, Texas",1984,8.1,78,145,80855,Drama,$2.18M
Before Sunset,2004,8.0,90,80,219506,"Drama, Romance",$5.82M
Dogville,2003,8.0,60,178,131363,"Crime, Drama",$1.53M
Falling Down,1993,7.6,56,113,161933,"Crime, Drama, Thriller",$40.90M
Dark City,1998,7.6,66,100,181733,"Mystery, Sci-Fi, Thriller",$14.38M
Sing Street,2016,7.9,79,106,79674,"Comedy, Drama, Music",$3.24M
Solaris,1972,8.1,90,167,74511,"Drama, Mystery, Sci-Fi",-
"Crouching Tiger, Hidden Dragon",2000,7.8,94,120,245761,"Action, Adventure, Fantasy",$128.08M
In the Name of the Father,1993,8.1,84,133,147747,"Biography, Drama",$25.01M
Harakiri,1962,8.7,85,133,31305,"Action, Drama, History",-
The Illusionist,2006,7.6,68,110,344737,"Drama, Fantasy, History",$39.87M
The Treasure of the Sierra Madre,1948,8.2,98,126,108077,"Adventure, Drama, Western",$5.01M
Planet of the Apes,1968,8.0,79,112,159979,"Adventure, Sci-Fi",$33.40M
Annie Hall,1977,8.0,92,93,243245,"Comedy, Romance",$39.20M
Lucky Number Slevin,2006,7.7,53,110,293250,"Crime, Drama, Mystery",$22.49M
The Best Offer,2013,7.8,49,131,101096,"Crime, Drama, Mystery",$0.09M
The Lego Movie,2014,7.8,83,100,314247,"Animation, Action, Adventure",$257.76M
The Apartment,1960,8.3,94,125,152793,"Comedy, Drama, Romance",$18.60M
Papillon,1973,8.0,58,151,116648,"Biography, Crime, Drama",$53.27M
Funny Games,1997,7.6,69,108,60003,"Crime, Drama, Thriller",-
Ghost in the Shell,1995,8.0,76,83,121478,"Animation, Action, Crime",$0.52M
The Last Picture Show,1971,8.0,93,118,39567,"Drama, Romance",$29.13M
Paths of Glory,1957,8.4,-,88,165854,"Drama, War",-
3:10 to Yuma,2007,7.7,76,122,277973,"Action, Crime, Drama",$53.61M
Midnight Express,1978,7.6,59,121,69111,"Biography, Crime, Drama",$35.00M
A Bronx Tale,1993,7.8,80,121,121631,"Crime, Drama, Romance",$17.27M
Ponyo,2008,7.7,86,101,112718,"Animation, Adventure, Comedy",$15.09M
Mommy,2014,8.1,74,139,46100,Drama,$3.49M
Stranger Than Fiction,2006,7.6,67,113,212227,"Comedy, Drama, Fantasy",$40.14M
Carlito's Way,1993,7.9,65,144,191673,"Crime, Drama, Thriller",$36.95M
A Fistful of Dollars,1964,8.0,65,99,186158,"Action, Drama, Western",$14.50M
Star Trek II: The Wrath of Khan,1982,7.7,67,113,108515,"Action, Adventure, Sci-Fi",$78.91M
The Wrestler,2008,7.9,81,109,282613,"Drama, Sport",$26.24M
Before Midnight,2013,7.9,94,109,130318,"Drama, Romance",$8.11M
Fried Green Tomatoes,1991,7.7,64,130,63661,Drama,$82.42M
Kramer vs. Kramer,1979,7.8,77,105,124936,Drama,$106.26M
50/50,2011,7.6,72,100,307511,"Comedy, Drama, Romance",$35.01M
Snow White and the Seven Dwarfs,1937,7.6,95,83,172327,"Animation, Family, Fantasy",$184.93M
The Name of the Rose,1986,7.7,54,130,97323,"Crime, Drama, Mystery",$7.15M
Changeling,2008,7.7,63,141,228558,"Biography, Crime, Drama",$35.74M
After Hours,1985,7.7,90,97,53715,"Comedy, Crime, Drama",$10.60M
Adaptation.,2002,7.7,83,115,170014,"Comedy, Drama",$22.25M
The Raid: Redemption,2011,7.6,73,101,182165,"Action, Thriller",$4.11M
The Invisible Man,1933,7.7,-,71,28112,"Comedy, Horror, Sci-Fi",-
Paddington 2,2017,7.8,88,103,54326,"Adventure, Comedy, Family",$40.44M
Hachi: A Dog's Tale,2009,8.1,-,93,236618,"Drama, Family",-
Dangerous Liaisons,1988,7.6,74,119,61831,"Drama, Romance",$34.70M
Beasts of No Nation,2015,7.7,79,137,68083,"Drama, War",$0.08M
Porco Rosso,1992,7.8,83,94,68522,"Animation, Adventure, Comedy",-
Awakenings,1990,7.8,74,121,116962,"Biography, Drama",$52.10M
Perfect Blue,1997,8.0,-,81,49478,"Animation, Horror, Mystery",$0.78M
A Silent Voice: The Movie,2016,8.2,78,130,34454,"Animation, Drama, Family",-
National Lampoon's Christmas Vacation,1989,7.6,49,97,146542,Comedy,$71.32M
The Great Beauty,2013,7.8,86,141,75978,Drama,$2.85M
Cold War,2018,7.6,90,89,41809,"Drama, History, Music",$4.57M
A Little Princess,1995,7.7,83,97,30651,"Drama, Family, Fantasy",$10.02M
Como Estrelas na Terra,2007,8.4,-,165,153014,"Drama, Family",$1.22M
The Man from Earth,2007,7.9,-,87,165891,"Drama, Fantasy, Sci-Fi",-
The Straight Story,1999,8.0,86,112,77434,"Biography, Drama",$6.20M
Night of the Living Dead,1968,7.9,89,96,110130,Horror,$0.09M
The Fall,2006,7.9,64,117,103971,"Adventure, Drama, Fantasy",$2.28M
Let the Right One In,2008,7.9,82,114,199652,"Drama, Horror, Romance",$2.12M
Flipped,2010,7.7,45,90,77624,"Comedy, Drama, Romance",$1.75M
8½,1963,8.0,-,138,103089,Drama,$0.05M
My Fair Lady,1964,7.8,95,170,82787,"Drama, Family, Musical",$72.00M
Clerks,1994,7.7,70,92,206477,Comedy,$3.15M
The Life of David Gale,2003,7.6,31,130,104605,"Crime, Drama, Thriller",$19.59M
Rebecca,1940,8.1,86,130,115521,"Drama, Mystery, Romance",$4.36M
Charade,1963,7.9,83,113,63392,"Comedy, Mystery, Romance",$13.47M
M,1931,8.3,-,99,134648,"Crime, Mystery, Thriller",$0.03M
Lord of War,2005,7.6,62,122,285056,"Action, Crime, Drama",$24.15M
The Color Purple,1985,7.8,78,154,74120,Drama,$98.47M
Naked,1993,7.8,84,132,31905,"Comedy, Drama",$1.77M
PK,2014,8.1,-,153,148581,"Comedy, Drama, Fantasy",$10.62M
The King of Comedy,1982,7.8,73,109,79268,"Comedy, Crime, Drama",$2.50M
Ran,1985,8.2,96,162,104405,"Action, Drama",$3.52M
The Man Who Shot Liberty Valance,1962,8.1,94,124,65228,"Drama, Western",-
The French Connection,1971,7.7,94,104,103903,"Action, Crime, Drama",-
Witness for the Prosecution,1957,8.4,-,116,99270,"Crime, Drama, Film-Noir",$8.18M
The Bridges of Madison County,1995,7.6,66,135,68544,"Drama, Romance",$71.52M
JFK,1991,8.0,72,189,135174,"Drama, History, Thriller",$70.41M
Roman Holiday,1953,8.0,78,118,121457,"Comedy, Romance",-
Miller's Crossing,1990,7.8,66,115,121454,"Crime, Drama, Thriller",$5.08M
A Streetcar Named Desire,1951,8.0,97,122,94726,Drama,$8.00M
Rushmore,1998,7.7,86,93,162234,"Comedy, Drama",$17.11M
What Ever Happened to Baby Jane?,1962,8.1,75,134,47331,"Drama, Horror, Thriller",$4.05M
For a Few Dollars More,1965,8.3,74,132,218232,Western,$15.00M
The Bridge on the River Kwai,1957,8.1,87,161,193451,"Adventure, Drama, War",$44.91M
Persona,1966,8.1,86,83,93238,"Drama, Thriller",-
The Artist,2011,7.9,89,100,222854,"Comedy, Drama, Romance",$44.67M
Doctor Zhivago,1965,8.0,69,197,66704,"Drama, Romance, War",$111.72M
October Sky,1999,7.8,71,108,78068,"Biography, Drama, Family",$32.48M
I Am Sam,2001,7.7,28,132,138933,Drama,$40.31M
Rope,1948,8.0,73,80,120983,"Crime, Drama, Mystery",-
Amores Perros,2000,8.1,83,154,213674,"Drama, Thriller",$5.38M
"Synecdoche, New York",2008,7.6,67,124,76518,"Comedy, Drama",$3.08M
The Insider,1999,7.8,84,157,154040,"Biography, Drama, Thriller",$28.97M
"Blood In, Blood Out",1993,8.0,47,180,27558,"Crime, Drama",$4.50M
Hedwig and the Angry Inch,2001,7.7,85,95,30685,"Comedy, Drama, Music",$3.03M
Chungking Express,1994,8.1,77,102,56721,"Comedy, Crime, Drama",$0.60M
On the Waterfront,1954,8.1,91,108,134224,"Crime, Drama, Thriller",$9.60M
The Manchurian Candidate,1962,7.9,94,126,69133,"Drama, Thriller",-
Cinderella Man,2005,8.0,69,144,170465,"Biography, Drama, History",$61.65M
The Mirror,1975,8.1,-,107,35545,"Biography, Drama",$0.18M
Guess Who's Coming to Dinner,1967,7.8,63,108,36851,"Comedy, Drama",$56.70M
Days of Heaven,1978,7.9,93,94,48638,"Drama, Romance",-
Gandhi,1982,8.0,79,191,211903,"Biography, Drama, History",$52.77M
The Searchers,1956,7.9,94,119,76088,"Adventure, Drama, Western",-
In the Heat of the Night,1967,8.0,75,110,63525,"Crime, Drama, Mystery",$24.38M
The Iron Giant,1999,8.0,85,86,164055,"Animation, Action, Adventure",$23.16M
The Nightmare Before Christmas,1993,8.0,82,76,279777,"Animation, Family, Fantasy",$75.08M
La Dolce Vita,1960,8.0,95,174,62035,"Comedy, Drama",$19.52M
Blood Simple,1984,7.6,81,99,82704,"Crime, Drama, Thriller",$2.15M
Victoria,2015,7.6,77,138,47989,"Crime, Drama, Romance",-
Evil Dead II,1987,7.8,69,84,141553,"Comedy, Horror",$5.92M
Finding Neverland,2004,7.7,67,106,194052,"Biography, Drama, Family",$51.68M
The Longest Day,1962,7.8,75,178,50494,"Action, Drama, History",$39.10M
Short Term 12,2013,8.0,82,96,76999,Drama,$1.01M
Ordinary People,1980,7.7,87,124,44242,Drama,$54.80M
La Haine,1995,8.1,-,98,138088,"Crime, Drama",$0.31M
Hotel Rwanda,2004,8.1,79,121,322803,"Biography, Drama, History",$23.53M
All That Jazz,1979,7.9,72,123,25898,"Drama, Music, Musical",$37.82M
Sophie's Choice,1982,7.6,68,150,39093,"Drama, Romance",$30.04M
Kung Fu Hustle,2004,7.7,78,99,121399,"Action, Comedy, Fantasy",$17.11M
Double Indemnity,1944,8.3,95,107,134791,"Crime, Drama, Film-Noir",$5.72M
Glory,1989,7.8,78,122,115997,"Biography, Drama, History",$26.83M
Gangs of Wasseypur,2012,8.2,89,321,73655,"Action, Comedy, Crime",-
Enter the Dragon,1973,7.7,83,102,92078,"Action, Crime, Drama",$25.00M
The Muppet Movie,1979,7.6,74,95,30880,"Adventure, Comedy, Family",$76.66M
Me and Earl and the Dying Girl,2015,7.7,74,105,117365,"Comedy, Drama, Romance",$6.74M
Fiddler on the Roof,1971,8.0,67,181,36904,"Drama, Family, Musical",$80.50M
Cabaret,1972,7.8,80,124,45820,"Drama, Musical",$42.77M
My Left Foot,1989,7.9,97,103,63872,"Biography, Drama",$14.74M
Loving Vincent,2017,7.8,62,94,45025,"Animation, Biography, Crime",$6.74M
Sabrina,1954,7.7,72,113,55855,"Comedy, Drama, Romance",-
