movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
How to Train Your Dragon 2,2014,7.8,76,102,291760,"Animation, Action, Adventure",$177.00M
The Last King of Scotland,2006,7.7,74,123,169891,"Biography, Drama, History",$17.61M
The Great Dictator,1940,8.4,-,125,190705,"Comedy, Drama, War",-
The Last Emperor,1987,7.7,76,163,88820,"Biography, Drama, History",$43.98M
Malcolm X,1992,7.7,72,202,78981,"Biography, Drama, History",$48.17M
Glengarry Glen Ross,1992,7.7,80,100,91491,"Crime, Drama, Mystery",$10.73M
Underground,1995,8.1,-,167,52684,"Comedy, Drama, War",$0.17M
Wings of Desire,1987,8.0,79,128,60713,"Drama, Fantasy, Romance",$3.33M
Ed Wood,1994,7.8,70,127,160739,"Biography, Comedy, Drama",$5.89M
Andrei Rublev,1966,8.2,-,205,42230,"Biography, Drama, History",$0.10M
Lady Vengeance,2005,7.6,75,115,67582,"Crime, Drama, Thriller",$0.21M
Ray,2004,7.7,73,152,132493,"Biography, Drama, Music",$75.33M
Wild Strawberries,1957,8.2,-,91,88806,"Drama, Romance",-
Dial M for Murder,1954,8.2,75,105,147413,"Crime, Thriller",$0.01M
Blow-Up,1966,7.6,82,111,53097,"Drama, Mystery, Thriller",-
21 Grams,2003,7.7,70,124,217692,"Crime, Drama, Thriller",$16.25M
Thank You for Smoking,2005,7.6,71,92,209097,"Comedy, Drama",$24.79M
All About Eve,1950,8.2,98,138,114218,Drama,$0.01M
Perfeitos Desconhecidos,2016,7.8,-,96,50847,"Comedy, Drama",-
Fanny and Alexander,1982,8.1,100,188,54062,Drama,$4.97M
The Wind Rises,2013,7.8,83,126,64923,"Animation, Biography, Drama",$5.21M
Shane,1953,7.6,80,118,35075,"Drama, Western",$20.00M
Gully Boy,2019,8.2,65,153,25333,"Drama, Musical",$5.57M
Hero,2002,7.9,85,107,169687,"Action, Adventure, History",$53.71M
Barton Fink,1991,7.7,69,116,107997,"Comedy, Drama, Thriller",$6.15M
Mary and Max,2009,8.1,-,92,156867,"Animation, Comedy, Drama",-
Modern Times,1936,8.5,96,87,203086,"Comedy, Drama, Family",$0.16M
The Tenant,1976,7.7,-,126,36664,"Drama, Thriller",$1.92M
The Maltese Falcon,1941,8.0,96,100,144218,"Film-Noir, Mystery",$2.11M
The Chaser,2008,7.9,64,125,53291,"Action, Crime, Thriller",-
Letters from Iwo Jima,2006,7.9,89,141,149528,"Action, Adventure, Drama",$13.76M
The Third Man,1949,8.1,97,93,151141,"Film-Noir, Mystery, Thriller",$0.45M
Nosferatu,1922,7.9,-,94,84359,"Fantasy, Horror",-
The Raid 2,2014,8.0,71,150,108731,"Action, Crime, Thriller",$2.63M
The Day the Earth Stood Still,1951,7.7,-,92,74267,"Drama, Sci-Fi",-
Rashomon,1950,8.2,98,88,142624,"Crime, Drama, Mystery",$0.10M
The Man from Nowhere,2010,7.8,-,119,58289,"Action, Drama, Thriller",$0.01M
Drishyam,2015,8.2,-,163,60404,"Crime, Drama, Mystery",$0.74M
Pride,2014,7.8,79,119,48838,"Biography, Comedy, Drama",-
Detachment,2011,7.7,52,98,72473,Drama,$0.07M
Manhattan,1979,7.9,83,96,125949,"Comedy, Drama, Romance",$45.70M
The Killing Fields,1984,7.8,76,141,49219,"Biography, Drama, History",$34.70M
Pink Floyd: The Wall,1982,8.1,47,95,72961,"Animation, Drama, Fantasy",$22.24M
The Remains of the Day,1993,7.8,84,134,61195,"Drama, Romance",$22.95M
Paprika,2006,7.7,81,90,65192,"Animation, Drama, Fantasy",$0.88M
Kubo and the Two Strings,2016,7.8,84,101,111684,"Animation, Action, Adventure",$48.02M
Harold and Maude,1971,7.9,62,91,67762,"Comedy, Drama, Romance",-
Dancer in the Dark,2000,8.0,61,140,97452,"Crime, Drama, Musical",$4.18M
Mississippi Burning,1988,7.8,65,128,82586,"Crime, Drama, History",$34.60M
Being There,1979,8.0,84,130,62588,"Comedy, Drama",$30.18M
Sympathy for Mr. Vengeance,2002,7.6,56,129,58784,"Action, Drama, Thriller",$0.05M
The Wild Bunch,1969,7.9,97,135,74466,"Action, Adventure, Western",$12.06M
The Right Stuff,1983,7.8,91,193,53942,"Adventure, Biography, Drama",$21.50M
All About My Mother,1999,7.8,87,101,84435,Drama,$8.26M
Fantasia,1940,7.8,96,125,84619,"Animation, Family, Fantasy",$76.41M
Dilwale Dulhania Le Jayenge,1995,8.1,-,181,60086,"Drama, Romance",-
Baahubali,2015,8.1,-,159,97091,"Action, Drama",$6.74M
The Secret of NIMH,1982,7.6,76,82,34597,"Animation, Adventure, Drama",$10.14M
Three Colors: Blue,1993,7.9,85,94,82382,"Drama, Music, Mystery",$1.32M
La Vie En Rose,2007,7.6,66,140,79738,"Biography, Drama, Music",$10.30M
Zulu,1964,7.7,77,138,34352,"Drama, History, War",-
Dead Man,1995,7.6,62,121,86611,"Adventure, Drama, Fantasy",$1.04M
The Outlaw Josey Wales,1976,7.9,69,135,62438,Western,$31.80M
Belle de Jour,1967,7.7,-,100,37573,Drama,$0.03M
Nebraska,2013,7.7,86,115,108480,"Adventure, Comedy, Drama",$17.65M
East of Eden,1955,7.9,72,118,38307,Drama,-
Happiness,1998,7.7,81,134,64173,"Comedy, Drama",$2.81M
Once,2007,7.8,88,86,107416,"Drama, Music, Romance",$9.44M
The Cabinet of Dr. Caligari,1920,8.1,-,67,53242,"Fantasy, Horror, Mystery",-
Delicatessen,1991,7.6,66,99,77362,"Comedy, Crime",$1.79M
The Adventures of Robin Hood,1938,7.9,97,102,45293,"Action, Adventure, Romance",$3.98M
The Killing,1956,8.0,-,84,77022,"Crime, Drama, Film-Noir",-
Paper Moon,1973,8.0,77,102,39668,"Comedy, Drama",$30.93M
Breaking the Waves,1996,7.9,76,159,59528,Drama,$4.04M
Repulsion,1965,7.7,91,105,45951,"Drama, Horror, Thriller",-
Strangers on a Train,1951,8.0,88,101,117986,"Crime, Film-Noir, Thriller",$7.63M
From Here to Eternity,1953,7.6,85,118,40936,"Drama, Romance, War",$30.50M
Amour,2012,7.9,94,127,88423,"Drama, Romance",$6.74M
Children of Heaven,1997,8.3,-,89,58580,"Drama, Family, Sport",$0.93M
Neon Genesis Evangelion: The End of Evangelion,1997,8.1,-,87,33432,"Animation, Action, Drama",-
K.G.F: Chapter 1,2018,8.2,-,156,28712,"Action, Drama",-
City Lights,1931,8.5,99,87,156408,"Comedy, Drama, Romance",$0.02M
Stagecoach,1939,7.9,93,96,40415,"Adventure, Drama, Western",-
The Station Agent,2003,7.6,81,89,65582,"Comedy, Drama",$5.74M
Where Eagles Dare,1968,7.7,63,158,49283,"Action, Adventure, War",-
Run Lola Run,1998,7.6,77,80,182978,"Crime, Drama, Thriller",$7.27M
High and Low,1963,8.5,-,143,26793,"Crime, Drama, Mystery",-
Bicycle Thieves,1948,8.3,-,89,135538,Drama,$0.33M
The 400 Blows,1959,8.1,-,99,97428,"Crime, Drama",-
Volver,2006,7.6,84,121,90989,"Comedy, Drama",$12.90M
Patton,1970,7.9,91,172,90661,"Biography, Drama, War",$61.70M
Rio Bravo,1959,8.0,-,141,53107,"Action, Drama, Western",$12.54M
Notorious,1946,7.9,100,102,87992,"Drama, Film-Noir, Romance",$10.46M
The Big Sleep,1946,7.9,-,114,75928,"Crime, Film-Noir, Mystery",$6.54M
Mustang,2015,7.6,83,97,32973,Drama,$0.85M
Three Colors: Red,1994,8.1,100,99,83988,"Drama, Mystery, Romance",$4.04M
The Hurricane,1999,7.6,74,146,88499,"Biography, Drama, Sport",$50.67M
Open Your Eyes,1997,7.8,-,117,61393,"Drama, Mystery, Sci-Fi",$0.37M
Shadow of a Doubt,1943,7.8,94,108,56151,Thriller,-
Kind Hearts and Coronets,1949,8.0,-,106,33056,"Comedy, Crime",-
When Marnie Was There,2014,7.7,72,103,26740,"Animation, Drama, Family",$0.77M
It Happened One Night,1934,8.1,87,105,88448,"Comedy, Romance",$4.36M
25th Hour,2002,7.6,67,135,165433,Drama,$13.06M
Gettysburg,1993,7.6,-,271,25164,"Drama, History, War",$10.77M
The Meaning of Life,1983,7.6,-,107,109215,"Comedy, Musical",$14.93M
Wait Until Dark,1967,7.8,81,108,26320,"Horror, Thriller",$17.55M
Ayla: The Daughter of War,2017,8.5,-,125,29712,"Biography, Drama, History",-
Short Cuts,1993,7.7,79,188,40735,"Comedy, Drama",$6.11M
Whisper of the Heart,1995,8.0,75,111,43365,"Animation, Drama, Family",-
Kelly's Heroes,1970,7.6,50,144,43132,"Adventure, Comedy, War",$1.38M
The Producers,1967,7.6,96,88,47832,"Comedy, Music",$0.11M
Judgment at Nuremberg,1961,8.2,60,179,64963,"Drama, War",-
Hamlet,1996,7.7,-,242,35009,Drama,$4.41M
"Aguirre, the Wrath of God",1972,8.0,-,95,49083,"Action, Adventure, Biography",-
"Duck, You Sucker",1971,7.7,77,138,27969,"Drama, War, Western",-
Yojimbo,1961,8.2,-,110,103377,"Action, Drama, Thriller",-
Era uma Vez na Anatolia,2011,7.9,82,157,37326,"Crime, Drama",$0.14M
A Lenda do Pianista do Mar,1998,8.1,58,169,55704,"Drama, Music, Romance",$0.26M
Freaks,1932,7.9,80,64,40093,Drama,-
The Little Prince,2015,7.7,70,108,52981,"Animation, Adventure, Drama",$1.34M
Chaplin,1992,7.6,47,143,51293,"Biography, Comedy, Drama",$9.49M
All Quiet on the Western Front,1930,8.0,91,152,55146,"Drama, War",$3.27M
"I, Daniel Blake",2016,7.9,78,100,48171,Drama,$0.26M
Contempt,1963,7.6,-,102,26284,"Drama, Romance",$0.04M
Black Book,2006,7.7,71,145,70181,"Drama, Thriller, War",$4.40M
Frost/Nixon,2008,7.7,80,122,99262,"Biography, Drama, History",$18.59M
Anatomy of a Murder,1959,8.0,95,161,56223,"Crime, Drama, Mystery",$11.90M
Song of the Sea,2014,8.1,85,93,47141,"Animation, Adventure, Drama",$0.86M
Lagaan: Once Upon a Time in India,2001,8.1,84,224,98163,"Adventure, Drama, Musical",$0.07M
On Golden Pond,1981,7.6,68,109,26302,Drama,$119.29M
Dead Man's Shoes,2004,7.6,52,90,47636,"Crime, Drama, Thriller",$0.01M
The Exterminating Angel,1962,8.1,-,95,27404,"Drama, Fantasy",-
The Grapes of Wrath,1940,8.0,96,129,83244,"Drama, History",$0.06M
Hannah and Her Sisters,1986,7.9,90,107,63966,"Comedy, Drama",$40.08M
Infernal Affairs,2002,8.0,75,101,114562,"Crime, Drama, Mystery",$0.17M
Amarcord,1973,7.9,-,123,37327,"Comedy, Drama",-
The Verdict,1982,7.7,77,129,33799,Drama,$54.00M
Battleship Potemkin,1925,8.0,-,66,50177,"Drama, History, Thriller",$0.05M
Cat on a Hot Tin Roof,1958,8.0,80,108,42574,Drama,$17.57M
The Night of the Hunter,1955,8.0,99,92,77791,"Crime, Drama, Film-Noir",$0.65M
Touch of Evil,1958,8.0,99,95,95064,"Crime, Drama, Film-Noir",$2.24M
Uri: The Surgical Strike,2019,8.3,-,138,37766,"Action, Drama, War",$4.19M
Ikiru,1952,8.3,-,143,62169,Drama,$0.06M
A Man for All Seasons,1966,7.7,72,120,29458,"Biography, Drama, History",$28.35M
The Double Life of Véronique,1991,7.8,86,98,38638,"Drama, Fantasy, Music",$2.00M
"South Park: Bigger, Longer & Uncut",1999,7.7,73,81,187265,"Animation, Comedy, Fantasy",$52.01M
Frankenstein,1931,7.8,91,70,61564,"Drama, Horror, Sci-Fi",-
Waking Life,2001,7.8,82,99,58717,"Animation, Drama, Fantasy",$2.89M
The Man Who Would Be King,1975,7.8,91,129,42236,"Adventure, History, War",-
The Red Shoes,1948,8.2,-,135,28036,"Drama, Music, Romance",$10.90M
The Hustler,1961,8.0,90,134,72582,"Drama, Sport",-
Talk to Her,2002,7.9,86,112,100453,"Drama, Mystery, Romance",$9.28M
The Salesman,2016,7.8,85,124,45601,"Drama, Thriller",$2.40M
Who's Afraid of Virginia Woolf?,1966,8.0,75,131,66310,Drama,-
The Diving Bell and the Butterfly,2007,8.0,92,112,100457,"Biography, Drama",$5.99M
Loveless,2017,7.6,86,127,26305,Drama,$0.57M
Withnail & I,1987,7.7,84,107,38067,"Comedy, Drama",$1.54M
Control,2007,7.7,78,122,59474,"Biography, Drama, Music",$0.87M
A Christmas Story,1983,8.0,77,94,126774,"Comedy, Family",$20.61M
Stalag 17,1953,8.0,84,120,49350,"Comedy, Drama, War",-
The Lion in Winter,1968,7.9,-,134,27869,"Biography, Drama, History",$22.28M
Três Amigos na Estrada,2011,8.1,-,155,62392,"Comedy, Drama",$3.11M
Le Samouraï,1967,8.1,-,101,41881,"Crime, Drama, Mystery",$0.04M
3-Iron,2004,8.0,72,88,46827,"Crime, Drama, Romance",$0.24M
Leviathan,2014,7.6,92,140,45927,"Crime, Drama",$1.09M
The African Queen,1951,7.7,91,105,68660,"Adventure, Drama, Romance",$0.54M
Watership Down,1978,7.6,64,91,32226,"Animation, Adventure, Drama",-
Red River,1948,7.8,-,133,26565,"Action, Adventure, Romance",-
The Wave,2008,7.6,-,107,98306,"Drama, Thriller",-
The White Ribbon,2009,7.8,82,144,65233,"Drama, History, Mystery",$2.22M
A Very Long Engagement,2004,7.6,76,133,69342,"Drama, Mystery, Romance",$6.17M
Fitzcarraldo,1982,8.1,-,158,29097,"Adventure, Drama",-
Sono de Inverno,2014,8.2,88,196,40487,Drama,$0.17M
Invasion of the Body Snatchers,1956,7.7,92,80,42732,"Drama, Horror, Sci-Fi",-
A Man Called Ove,2015,7.7,70,116,42638,"Comedy, Drama, Romance",$3.36M
Cries & Whispers,1972,8.1,-,91,27629,Drama,-
The Philadelphia Story,1940,7.9,96,112,60534,"Comedy, Romance",-
Gilda,1946,7.7,-,110,26056,"Drama, Film-Noir, Romance",-
Nights of Cabiria,1957,8.1,-,110,40461,Drama,$0.75M
Good Bye Lenin!,2003,7.7,68,121,132827,"Comedy, Drama, Romance",$4.06M
Confessions,2010,7.8,-,106,33550,"Drama, Thriller",-
The Kid,1921,8.3,-,68,104468,"Comedy, Drama, Family",$5.45M
Deep Red,1975,7.6,89,127,29432,"Horror, Mystery, Thriller",-
Bringing Up Baby,1938,7.9,91,102,52595,"Comedy, Family, Romance",-
His Girl Friday,1940,7.9,-,92,50511,"Comedy, Drama, Romance",$0.30M
A Prophet,2009,7.9,90,155,90185,"Crime, Drama",$2.08M
The Day of the Jackal,1973,7.8,80,143,35585,"Crime, Drama, Thriller",$16.06M
Swades,2004,8.2,-,189,78153,Drama,$1.22M
The Bandit,1996,8.3,-,128,59015,"Crime, Drama, Thriller",-
The Secret of Kells,2009,7.6,81,75,29585,"Animation, Adventure, Family",$0.69M
Ivan's Childhood,1962,8.1,-,84,28403,"Drama, War",-
Elite Squad,2007,8.1,33,115,94678,"Action, Crime, Drama",$0.01M
Kal ho naa ho,2003,8.0,54,186,59816,"Comedy, Drama, Romance",$1.79M
Mysterious Skin,2004,7.6,73,105,63935,Drama,$0.70M
Sunrise,1927,8.1,-,94,45029,"Drama, Romance",$0.54M
Ace in the Hole,1951,8.1,72,111,28166,"Drama, Film-Noir",$3.97M
"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85,103,73577,"Drama, Romance",$2.38M
Pierrot le Fou,1965,7.6,-,110,26818,"Crime, Drama, Romance",-
Land of Mine,2015,7.8,75,100,31266,"Drama, History, War",$0.44M
My Sassy Girl,2001,8.0,-,123,43628,"Comedy, Drama, Romance",-
Laura,1944,8.0,-,88,40343,"Drama, Film-Noir, Mystery",$4.36M
Tokyo Story,1953,8.2,-,136,47270,Drama,-
The Lady Vanishes,1938,7.8,-,96,44572,"Film-Noir, Mystery, Thriller",-
My Name Is Khan,2010,8.0,50,165,94138,Drama,$4.02M
The Motorcycle Diaries,2004,7.8,75,126,93586,"Adventure, Biography, Drama",$16.76M
Sleuth,1972,8.0,-,138,43135,"Mystery, Thriller",-
The Best Years of Our Lives,1946,8.0,92,170,55081,"Drama, Romance, War",$23.65M
Meu Pai e Meu Filho,2005,8.3,-,108,72713,"Drama, Family",-
The Broken Circle Breakdown,2012,7.8,70,111,37689,"Drama, Music, Romance",$0.18M
A Hard Day's Night,1964,7.6,96,87,38249,"Comedy, Music, Musical",$13.78M
Philomena,2013,7.6,77,98,91104,"Biography, Comedy, Drama",$37.71M
The Sea Inside,2004,8.0,74,126,74733,"Biography, Drama",$2.09M
Mr. Smith Goes to Washington,1939,8.1,73,129,101837,"Comedy, Drama",$9.60M
Fearless,2006,7.6,70,104,71065,"Action, Biography, Drama",$24.63M
The Message,1976,8.2,-,177,41422,"Biography, Drama, History",-
5 Centimeters Per Second,2007,7.6,-,63,47097,"Animation, Drama, Family",-
Wolf Children,2012,8.1,71,117,34993,"Animation, Drama, Family",-
The General,1926,8.1,-,67,75568,"Action, Adventure, Comedy",$0.23M
Bajrangi Bhaijaan,2015,8.0,-,163,67304,"Action, Comedy, Drama",$8.18M
The 39 Steps,1935,7.7,-,86,48776,"Film-Noir, Mystery, Thriller",-
The Experiment,2001,7.7,60,120,88735,"Drama, Thriller",$0.14M
The Celebration,1998,8.0,82,105,75147,Drama,$1.65M
Ninja Scroll,1993,7.9,-,94,32947,"Animation, Action, Adventure",-
Out of the Past,1947,8.0,-,97,30592,"Crime, Drama, Film-Noir",-
Night on Earth,1991,7.8,68,129,52367,"Comedy, Drama",$2.02M
Cell 211,2009,7.6,-,113,61364,"Action, Adventure, Crime",-
Three Colors: White,1994,7.7,88,92,58799,"Comedy, Drama, Romance",$1.46M
Pinte de Açafrão,2006,8.2,-,167,104947,"Comedy, Drama",$2.20M
To Have and Have Not,1944,7.8,-,100,29293,"Adventure, Comedy, Film-Noir",-
Tokyo Godfathers,2003,7.8,73,92,28425,"Animation, Adventure, Comedy",$0.13M
Inherit the Wind,1960,8.1,75,128,25820,"Biography, Drama, History",-
Secrets & Lies,1996,8.0,91,136,35067,"Comedy, Drama",$13.42M
The Return,2003,8.0,82,110,39965,Drama,$0.50M
"4 Months, 3 Weeks and 2 Days",2007,7.9,97,113,53984,Drama,$1.19M
Love Me If You Dare,2003,7.6,45,93,65208,"Comedy, Drama, Romance",$0.55M
Once Were Warriors,1994,7.9,77,102,30280,"Crime, Drama",$2.20M
Persepolis,2007,8.0,90,96,84931,"Animation, Biography, Drama",$4.45M
Kagemusha,1980,8.0,84,162,30039,"Drama, History, War",-
In America,2002,7.7,76,105,39611,Drama,$15.54M
Head-On,2004,7.9,78,121,48724,"Drama, Romance",-
Shine,1996,7.7,87,105,49705,"Biography, Drama, Music",$35.81M
The Passion of Joan of Arc,1928,8.1,-,114,43451,"Biography, Drama, History",$0.02M
Peeping Tom,1960,7.7,-,101,28547,"Drama, Horror, Thriller",$0.08M
The Discreet Charm of the Bourgeoisie,1972,7.9,93,102,35445,Comedy,$0.20M
Down by Law,1986,7.8,75,107,45326,"Comedy, Crime, Drama",$1.44M
Cowboy Bebop: The Movie,2001,7.9,61,115,40867,"Animation, Action, Crime",$1.00M
No Man's Land,2001,7.9,84,98,43104,"Comedy, Drama, War",$1.06M
Talvar,2015,8.2,-,132,27470,"Crime, Drama, Mystery",$0.34M
La Strada,1954,8.0,-,108,55185,Drama,-
Death Note,2006,7.7,-,126,27675,"Crime, Drama, Fantasy",-
Lilya 4-Ever,2002,7.8,82,109,40997,"Crime, Drama",$0.18M
"Gata Preta, Gato Branco",1998,8.1,73,127,48688,"Comedy, Crime, Romance",$0.35M
The Girl Who Leapt Through Time,2006,7.8,-,98,56244,"Animation, Adventure, Comedy",-
In a Better World,2010,7.6,65,118,37355,"Drama, Romance",$1.01M
The World's Fastest Indian,2005,7.8,68,127,50283,"Biography, Drama, Sport",$5.13M
The Vanishing,1988,7.7,-,107,31305,"Mystery, Thriller",-
The Wages of Fear,1953,8.1,-,131,50829,"Adventure, Drama, Thriller",-
About Elly,2009,8.0,87,119,41027,"Drama, Mystery, Thriller",$0.11M
The Chorus,2004,7.9,56,97,54653,"Drama, Music",$3.64M
Bride of Frankenstein,1935,7.8,-,75,41078,"Drama, Horror, Sci-Fi",$4.36M
Batman: Mask of the Phantasm,1993,7.8,-,76,40488,"Animation, Action, Crime",$5.62M
Throne of Blood,1957,8.1,-,110,42046,"Drama, History",-
Pink,2016,8.1,-,136,35122,"Drama, Thriller",$1.24M
The Lunchbox,2013,7.8,76,104,44744,"Drama, Romance",$4.23M
Arsenic and Old Lace,1944,8.0,-,118,63157,"Comedy, Crime, Thriller",-
After the Wedding,2006,7.7,78,120,30546,Drama,$0.41M
White Heat,1949,8.1,-,114,27687,"Action, Crime, Drama",-
Jules and Jim,1962,7.8,-,105,35114,"Drama, Romance",-
Key Largo,1948,7.8,-,100,35356,"Action, Crime, Drama",-
Crimes and Misdemeanors,1989,7.9,77,104,52235,"Comedy, Drama",$18.25M
Raise the Red Lantern,1991,8.1,-,125,27632,"Drama, History, Romance",$2.60M
The Hidden Fortress,1958,8.1,-,126,31507,"Adventure, Drama",-
Sholay,1975,8.2,-,162,48715,"Action, Adventure, Comedy",-
The Odd Couple,1968,7.7,86,105,30127,Comedy,$44.53M
The Gold Rush,1925,8.2,-,95,93819,"Adventure, Comedy, Drama",$5.45M
Departures,2008,8.1,68,130,46500,"Drama, Music",$1.50M
Vivre Sa Vie,1962,8.0,-,85,25123,Drama,-
Duck Soup,1933,7.8,93,69,53690,"Comedy, Musical, War",-
Sweet Smell of Success,1957,8.1,100,96,25942,"Drama, Film-Noir",-
Diabolique,1955,8.0,-,117,58929,"Crime, Drama, Horror",-
Baahubali 2: The Conclusion,2017,8.2,-,167,69635,"Action, Drama",$20.19M
Special 26,2013,8.0,-,144,47522,"Crime, Drama, Thriller",$1.08M
Hera Pheri,2000,8.2,-,156,51286,"Action, Comedy, Crime",-
O Que o Coração Deseja,2001,8.1,-,183,63341,"Comedy, Drama, Romance",$0.30M
The Thin Man,1934,8.0,-,91,25121,"Comedy, Crime, Mystery",-
Tangerines,2013,8.2,73,87,35378,"Drama, War",$0.14M
Queen,2013,8.2,-,146,57279,"Comedy, Drama",$1.43M
Il Postino,1994,7.7,81,108,31820,"Biography, Comedy, Drama",$21.85M
Bhaag Milkha Bhaag,2013,8.2,-,186,57227,"Biography, Drama, Sport",$1.63M
Kahaani,2012,8.1,-,122,54176,"Mystery, Thriller",$1.04M
The Battle of Algiers,1966,8.1,96,121,49373,"Drama, War",$0.06M
The Visitor,2007,7.6,79,104,40747,Drama,$9.42M
Black,2005,8.2,-,122,32047,Drama,$0.73M
Evil,2003,7.8,61,113,34517,Drama,$0.02M
A Wednesday,2008,8.1,-,104,70564,"Crime, Drama, Mystery",-
The Triplets of Belleville,2003,7.8,91,80,49131,"Animation, Comedy, Drama",$7.00M
Hard Boiled,1992,7.8,-,128,44892,"Action, Crime, Thriller",-
G.O.R.A.,2004,8.0,-,127,52690,"Adventure, Comedy, Sci-Fi",-
Au Revoir les Enfants,1987,8.0,-,104,29298,"Drama, War",$4.54M
Baby,2015,8.0,-,159,50173,"Action, Thriller",-
Elite Squad: The Enemy Within,2010,8.0,71,115,76812,"Action, Crime, Drama",$0.10M
The Purple Rose of Cairo,1985,7.7,75,82,44779,"Comedy, Fantasy, Romance",$10.63M
Miracle on 34th Street,1947,7.9,88,96,38573,"Comedy, Drama, Family",$2.65M
The Past,2013,7.8,85,130,42673,"Drama, Mystery",$1.33M
Love and Death,1975,7.7,89,85,34146,"Comedy, War",-
Harvey,1950,7.9,-,104,51200,"Comedy, Drama, Fantasy",-
Hiroshima Mon Amour,1959,7.9,-,90,26219,"Drama, Romance",$0.09M
Brief Encounter,1945,8.0,-,86,33294,"Drama, Romance",-
Nine Queens,2000,7.9,80,114,47444,"Crime, Drama, Thriller",$1.22M
Munna Bhai M.B.B.S.,2003,8.1,-,156,68815,"Comedy, Drama, Musical",-
Haider,2014,8.1,-,160,47558,"Crime, Drama, Thriller",$0.90M
The Killer,1989,7.8,82,111,44206,"Action, Crime, Drama",-
Sanjuro,1962,8.1,-,96,29758,"Action, Comedy, Crime",-
Fireworks,1997,7.8,-,103,25982,"Crime, Drama, Romance",$0.23M
Udaan,2010,8.1,-,134,40181,Drama,$0.01M
Interstate 60: Episodes of the Road,2002,7.7,-,116,28611,"Adventure, Comedy, Drama",-
Barfi!,2012,8.1,-,151,71570,"Comedy, Drama, Romance",$2.80M
The Magdalene Sisters,2002,7.7,83,114,25180,Drama,$4.89M
Adam's Apples,2005,7.8,51,94,43407,"Comedy, Crime, Drama",$0.00M
Lifeboat,1944,7.7,78,97,25193,"Drama, War",-
Sherlock Jr.,1924,8.2,-,45,36727,"Action, Comedy, Romance",$0.98M
Veer-Zaara,2004,7.8,67,192,46565,"Drama, Family, Musical",$2.92M
Tae Guk Gi: The Brotherhood of War,2004,8.1,64,140,36595,"Action, Drama, War",$1.11M
The Lost Weekend,1945,7.9,-,101,31833,"Drama, Film-Noir",$9.46M
Joyeux Noel,2005,7.7,70,116,26684,"Drama, History, Music",$1.05M
Chak de! India,2007,8.2,68,153,69593,"Drama, Family, Sport",$1.11M
Knockin' on Heaven's Door,1997,8.0,-,87,26154,"Action, Crime, Comedy",$0.00M
Zelig,1983,7.7,-,79,38293,Comedy,$11.80M
Le Dîner de Cons,1998,7.7,73,80,35592,Comedy,$4.07M
Central Station,1998,8.0,80,110,34087,Drama,$5.60M
Jab We Met,2007,7.9,-,138,44438,"Comedy, Drama, Romance",$0.41M
OMG: Oh My God!,2012,8.1,-,125,47316,"Comedy, Drama, Fantasy",$0.92M
Vampire Hunter D: Bloodlust,2000,7.7,62,103,27865,"Animation, Action, Fantasy",$0.15M
The Edge of Heaven,2007,7.8,85,122,29606,Drama,$0.74M
Vicky Donor,2012,7.8,-,126,37296,"Comedy, Romance",$0.17M
The Rules of the Game,1939,8.0,-,110,25247,"Comedy, Drama",-
Airlift,2016,8.0,-,130,50292,"Drama, History",-
Dev.D,2009,8.0,-,144,27138,"Comedy, Drama, Romance",$0.01M
La Grande Illusion,1937,8.1,-,113,32218,"Drama, War",$0.17M
Everyone Has Their Own Style,1994,8.2,-,160,47043,"Comedy, Family, Romance",-
The Shop Around the Corner,1940,8.1,-,99,25905,"Comedy, Drama, Romance",$0.20M
The Muppet Christmas Carol,1992,7.7,64,85,45716,"Comedy, Drama, Family",$27.28M
A Night at the Opera,1935,7.9,-,96,29424,"Comedy, Music, Musical",-
Drishyam,2013,8.4,-,160,28499,"Crime, Drama, Thriller",-
Paan Singh Tomar,2012,8.2,-,135,30411,"Action, Biography, Crime",$0.04M
English Vinglish,2012,7.8,-,134,31623,"Comedy, Drama, Family",$1.67M
C.R.A.Z.Y.,2005,7.9,81,127,30695,"Comedy, Drama",-
Vizontele,2001,8.0,-,110,30577,"Comedy, Drama",-
The Breath,2009,8.0,-,128,30510,"Action, Drama, Thriller",-
Boy A,2007,7.6,75,102,36163,Drama,$0.11M
And Now for Something Completely Different,1971,7.6,-,88,27964,Comedy,-
Siga em Frente Munna Bhai,2006,8.1,-,144,40315,"Comedy, Drama, Romance",$2.22M
